date,code,close,high,low,open,p_change,turnover,volume,t_volue
2012/3/8,'002230,40.46,40.52,39.9,40.25,0.6468,1.1026,2658563,10199045576
2012/3/9,'002230,41.58,41.6,40.46,40.5,2.7682,1.0291,2481431,10481372097
2012/3/12,'002230,42.4,43.27,41.65,41.97,1.9721,1.0245,2470368,10688075442
2012/3/13,'002230,41.59,42.8,41.38,42.46,-1.9104,1.273,3069608,10483892869
2012/3/14,'002230,40,42.8,39.52,41.74,-3.823,2.0607,4968717,10083090040
2012/3/15,'002230,41.31,41.6,38.4,41,3.275,1.9894,4796859,10413311239
2012/3/16,'002230,41.79,42.4,39.9,41.19,1.1619,1.7229,4154202,10534308319
2012/3/19,'002230,41.21,42.2,40.9,41.6,-1.3879,0.7519,1813008,10388103514
2012/3/20,'002230,39.58,41.9,39.45,41.22,-3.9554,1.0225,2465417,9977217595
2012/3/21,'002230,37.9,40.38,35.62,40.12,-4.2446,3.0061,7248297,9553727813
2012/3/22,'002230,37.7,38.48,37.02,37.85,-0.5277,1.0423,2513130,9503312363
2012/3/23,'002230,37.9,38.86,37.24,37.78,0.5305,1.1866,2861156,9553727813
2012/3/26,'002230,38,38.65,36.68,37.7,0.2639,1.2836,3095097,9578935538
2012/3/27,'002230,37.1,38.19,36.91,38.01,-2.3684,1.1445,2759604,9352066012
2012/3/28,'002230,35.96,37.29,35.7,37.1,-3.0728,1.4867,3584697,9064697946
2012/3/29,'002230,35.72,36.4,35.34,35.7,-0.6674,1.0054,2424289,9004199406
2012/3/30,'002230,35.92,36.3,35.65,35.75,0.5599,0.7227,1742669,9054614856
2012/4/5,'002230,37.83,37.93,36.01,36.04,5.3174,1.0024,2416959,9536082405
2012/4/6,'002230,37.6,38.29,36.95,37.97,-0.608,1.3239,3192316,9478104638
2012/4/9,'002230,37.65,38.15,37.18,37.6,0.133,0.6526,1573470,9490708500
2012/4/10,'002230,36.49,37.75,35.15,37.66,-3.081,1.9836,4783039,9198298889
2012/4/11,'002230,36.53,36.93,35.62,35.75,0.1096,0.6035,1455236,9208381979
2012/4/12,'002230,37.47,37.65,36.53,36.53,2.5732,0.6791,1637352,9445334595
2012/4/13,'002230,37.3,38.29,37.3,37.94,-0.4537,0.7683,1852432,9402481462
2012/4/16,'002230,38.8,38.9,37.05,37.3,4.0214,1.6021,3863049,9780597339
2012/4/17,'002230,38.05,39.29,37.97,38.84,-1.933,0.7751,1868996,9591539401
2012/4/18,'002230,38.66,38.83,37.9,38,1.6032,0.799,1926575,9745306524
2012/4/19,'002230,38.42,38.78,37.7,38.78,-0.6208,0.9124,2200089,9684807983
2012/4/20,'002230,38.3,38.4,37.9,38.34,-0.3123,0.4903,1182337,9654558713
2012/4/23,'002230,36.21,38.3,36,38.3,-5.4569,1.2431,2997425,9127717259
2012/4/24,'002230,34.98,36.48,33.9,36.21,-3.3969,1.5984,3854133,8817662240
2012/4/25,'002230,34.98,35.33,34.13,35.13,0,0.6679,1610367,8817662240
2012/4/26,'002230,35.03,35.79,34.96,34.96,0.1429,0.5646,1361363,8830266103
2012/5/2,'002230,35.6,35.92,35.2,35.62,1.6272,0.6715,1619161,8973950136
2012/5/3,'002230,36.32,36.6,35.48,35.5,2.0225,0.5734,1382660,9155445756
2012/5/4,'002230,36.3,36.98,35.94,36.49,-0.0551,0.4384,1057100,9150404211
2012/5/7,'002230,36.4,36.4,35.35,36.19,0.2755,0.8631,2081143,9175611936
2012/5/8,'002230,35.91,36.4,35.78,36.4,-1.3462,0.3422,825144,9052094083
2012/5/9,'002230,36.04,36.1,35.37,35.87,0.362,0.4862,1172301,9084864126
2012/5/10,'002230,35.7,36.18,34.88,36.18,-0.9434,0.568,1431840,8999157861
2012/5/11,'002230,34.97,36,34.89,35.5,-2.0448,0.6141,1548105,8815141467
2012/5/14,'002230,35.01,35.54,34.8,35.3,0.1144,0.4413,1112481,8825224558
2012/5/15,'002230,35.45,35.45,34.3,34.5,1.2568,0.387,975462,8936138548
2012/5/16,'002230,35.51,35.68,35.1,35.51,0.1693,0.3237,815975,8951263183
2012/5/17,'002230,36.28,36.65,35.35,35.5,2.1684,0.7438,1875033,9145362666
2012/5/18,'002230,35.74,36.42,35.69,36.2,-1.4884,0.384,968084,9009240951
2012/5/21,'002230,23.57,24.19,23.37,23.85,-0.6743,0.285,1077450,8912191197
2012/5/22,'002230,23.78,23.96,23.37,23.6,0.891,0.2921,1104531,8991595531
2012/5/23,'002230,23.8,24.03,23.61,23.71,0.0841,0.5099,1927954,8999157849
2012/5/24,'002230,23.6,23.85,23.48,23.5,-0.8403,0.319,1206021,8923534674
2012/5/25,'002230,22.53,23.65,22.5,23.48,-4.5339,0.42,1588190,8518950686
2012/5/28,'002230,23.26,23.3,21.6,22.45,3.2401,0.7741,2926866,8794975276
2012/5/29,'002230,23.07,23.47,22.48,23.31,-0.8169,0.7811,2953429,8723133259
2012/5/30,'002230,22.73,23.02,22.67,22.89,-1.4738,0.5531,2091190,8594573861
2012/5/31,'002230,23.52,23.85,22.52,22.71,3.4756,0.968,3660008,8893285404
2012/6/1,'002230,24.26,24.41,23.4,23.47,3.1463,1.1238,4249377,9173091152
